Country,Documents,Citable documents,Citations,Self-citations,Citations per document,H index,Energy Supply,Energy Supply per Capita,% Renewabl's,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0
China,303064,301778,3036531,2092737,10.02,273,127191000000.0,93000000.0,19.75491,2752130000000.0,3550340000000.0,4594310000000.0,5101700000000.0,6087160000000.0,7551500000000.0,8532230000000.0,9570410000000.0,10475700000000.0,11061600000000.0
United States,184851,181106,2623922,819242,14.19,389,90838000000.0,286000000.0,11.57098,13815600000000.0,14474200000000.0,14769900000000.0,14478100000000.0,15049000000000.0,15599700000000.0,16254000000000.0,16843200000000.0,17550700000000.0,18206000000000.0
India,60257,58589,590570,213760,9.8,198,33195000000.0,26000000.0,14.96908,940260000000.0,1216740000000.0,1198900000000.0,1341890000000.0,1675620000000.0,1823050000000.0,1827640000000.0,1856720000000.0,2039130000000.0,2103590000000.0
Japan,52780,52281,557023,132113,10.55,203,18984000000.0,149000000.0,10.23282,4601660000000.0,4579750000000.0,5106680000000.0,5289490000000.0,5759070000000.0,6233150000000.0,6272360000000.0,5212330000000.0,4896990000000.0,4444930000000.0
United Kingdom,47141,45928,748994,132737,15.89,244,7920000000.0,124000000.0,10.60047,2717060000000.0,3106180000000.0,2938880000000.0,2425800000000.0,2491110000000.0,2674890000000.0,2719160000000.0,2803290000000.0,3087170000000.0,2956570000000.0
Germany,42343,41464,528645,115432,12.48,211,13261000000.0,165000000.0,17.90153,2994700000000.0,3425580000000.0,3745260000000.0,3411260000000.0,3399670000000.0,3749310000000.0,3527140000000.0,3733800000000.0,3889090000000.0,3357590000000.0
Russian Federation,39424,39189,142937,67935,3.63,96,30709000000.0,214000000.0,17.28868,989931000000.0,1299710000000.0,1660850000000.0,1222640000000.0,1524920000000.0,2045930000000.0,2208300000000.0,2292470000000.0,2059240000000.0,1363480000000.0
Canada,35588,34940,665415,113363,18.7,246,10431000000.0,296000000.0,61.94543,1319260000000.0,1468820000000.0,1552990000000.0,1374630000000.0,1617340000000.0,1793330000000.0,1828370000000.0,1846600000000.0,1805750000000.0,1556510000000.0
Italy,31260,29959,433388,105641,13.86,177,6530000000.0,109000000.0,33.66723,1949550000000.0,2213100000000.0,2408660000000.0,2199930000000.0,2136100000000.0,2294990000000.0,2086960000000.0,2141920000000.0,2162010000000.0,1836640000000.0
South Korea,31200,30949,405923,74753,13.01,169,11007000000.0,221000000.0,2.279353,1053220000000.0,1172610000000.0,1047340000000.0,943942000000.0,1144070000000.0,1253220000000.0,1278430000000.0,1370800000000.0,1484320000000.0,1465770000000.0
France,26848,26320,403834,73792,15.04,190,10597000000.0,166000000.0,17.02028,2320540000000.0,2660590000000.0,2930300000000.0,2700890000000.0,2645190000000.0,2865160000000.0,2683670000000.0,2811880000000.0,2855960000000.0,2439190000000.0
Iran,25481,25204,398571,122647,15.64,159,9172000000.0,119000000.0,5.707721,266299000000.0,349882000000.0,412336000000.0,416397000000.0,486808000000.0,626133000000.0,644036000000.0,492776000000.0,460383000000.0,408213000000.0
Spain,24969,24505,427391,77583,17.12,187,4923000000.0,106000000.0,37.96859,1260400000000.0,1474000000000.0,1631860000000.0,1491470000000.0,1422110000000.0,1480710000000.0,1324740000000.0,1355140000000.0,1371220000000.0,1195600000000.0
Brazil,23110,22762,219895,53635,9.52,139,12149000000.0,59000000.0,69.64803,1107630000000.0,1397110000000.0,1695860000000.0,1667000000000.0,2208840000000.0,2616160000000.0,2465230000000.0,2472820000000.0,2456040000000.0,1802210000000.0
Australia,22803,22276,396186,62694,17.37,192,5386000000.0,231000000.0,11.81081,747556000000.0,853955000000.0,1055130000000.0,928043000000.0,1147590000000.0,1397910000000.0,1546510000000.0,1576340000000.0,1467500000000.0,1350530000000.0
